Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Quitinete;Copacabana;1;0;0;40;1700;500.0;60.0
Casa;Jardim Botânico;2;0;1;100;7000;;
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;150;5200;4020.0;1111.0
Apartamento;Centro;1;0;0;15;800;390.0;20.0
Apartamento;Higienópolis;1;0;0;48;800;230.0;
Apartamento;Vista Alegre;3;1;0;70;1200;;
Apartamento;Cachambi;2;0;0;50;1300;301.0;17.0
Casa de Condomínio;Barra da Tijuca;5;4;5;750;22000;;
Casa de Condomínio;Ramos;2;2;0;65;1000;;
Conjunto Comercial/Sala;Centro;0;3;0;695;35000;19193.0;3030.0
